date,pcr,threshold,signal,pos,ret,pnl,strategy,benchmark
2011-03-02,92.15,110.528,0.0,0.0,-0.012336,-0.0,1.158788,1.401056
2011-03-03,97.49,110.528,0.0,0.0,0.013744,0.0,1.158788,1.420312
2011-03-04,101.35,110.528,0.0,0.0,0.005268,0.0,1.158788,1.427794
2011-03-07,99.18,110.528,0.0,0.0,-0.008038,-0.0,1.158788,1.416317
2011-03-08,100.45,110.528,0.0,0.0,0.003897,0.0,1.158788,1.421837
2011-03-09,102.47,110.528,0.0,0.0,0.000259,0.0,1.158788,1.422206
2011-03-10,95.72,110.528,0.0,0.0,-0.012242,-0.0,1.158788,1.404795
2011-03-11,88.09,110.528,0.0,0.0,-0.008687,-0.0,1.158788,1.392591
2011-03-14,84.06,110.528,0.0,0.0,-0.005579,-0.0,1.158788,1.384822
2011-03-15,68.3,110.528,0.0,0.0,-0.033479,-0.0,1.158788,1.33846
2011-03-16,101.82,110.528,0.0,0.0,0.010905,0.0,1.158788,1.353056
2011-03-17,101.28,110.528,0.0,0.0,-0.005032,-0.0,1.158788,1.346247
2011-03-18,103.57,110.528,0.0,0.0,0.013529,0.0,1.158788,1.364461
2011-03-21,106.76,110.528,0.0,0.0,0.008691,0.0,1.158788,1.37632
2011-03-22,107.89,110.528,0.0,0.0,0.004763,0.0,1.158788,1.382875
2011-03-23,111.22,110.784,1.0,0.0,0.004354,0.0,1.158788,1.388895
2011-03-24,113.01,110.996,1.0,1.0,0.003665,0.003465,1.162804,1.393986
2011-03-25,116.95,111.172,1.0,1.0,0.003963,0.003963,1.167412,1.39951
2011-03-28,117.76,111.244,1.0,1.0,-0.006658,-0.006658,1.159639,1.390192
2011-03-29,117.62,111.302,1.0,1.0,0.005087,0.005087,1.165538,1.397264
2011-03-30,116.96,111.546,1.0,1.0,0.005786,0.005786,1.172282,1.405349
2011-03-31,116.66,111.882,1.0,1.0,0.004278,0.004278,1.177297,1.411361
2011-04-01,117.28,112.106,1.0,1.0,0.002514,0.002514,1.180257,1.414909
2011-04-06,126.66,112.272,1.0,1.0,0.016869,0.016869,1.200167,1.438778
2011-04-07,130.41,112.742,1.0,1.0,0.005619,0.005619,1.206911,1.446862
2011-04-08,131.19,113.112,1.0,1.0,-0.000807,-0.000807,1.205938,1.445695
2011-04-11,133.95,113.3,1.0,1.0,-0.001604,-0.001604,1.204003,1.443376
2011-04-12,124.62,113.47,1.0,1.0,-0.01663,-0.01663,1.18398,1.419373
2011-04-13,125.73,113.542,1.0,1.0,0.005452,0.005452,1.190435,1.427111
2011-04-14,129.17,113.568,1.0,1.0,0.002566,0.002566,1.19349,1.430773
2011-04-15,127.63,113.778,1.0,1.0,-0.009612,-0.009612,1.182018,1.417021
2011-04-18,126.72,114.108,1.0,1.0,-0.000418,-0.000418,1.181525,1.416429
2011-04-19,120.43,114.312,1.0,1.0,-0.008713,-0.008713,1.17123,1.404087
2011-04-20,117.81,114.402,1.0,1.0,0.020227,0.020227,1.19492,1.432488
2011-04-21,123.34,114.556,1.0,1.0,0.016381,0.016381,1.214494,1.455953
2011-04-22,115.02,114.64,1.0,1.0,0.001315,0.001315,1.216091,1.457868
2011-04-25,116.73,114.778,1.0,1.0,-0.002083,-0.002083,1.213559,1.454832
2011-04-26,116.35,114.918,1.0,1.0,-0.000292,-0.000292,1.213205,1.454407
2011-04-27,122.4,114.992,1.0,1.0,0.0113,0.0113,1.226913,1.470842
2011-04-28,117.97,115.056,1.0,1.0,-0.000937,-0.000937,1.225764,1.469463
2011-04-29,115.23,115.17,1.0,1.0,-0.003639,-0.003639,1.221303,1.464116
2011-05-03,113.88,115.17,0.0,1.0,-0.00686,-0.00686,1.212925,1.454073
2011-05-04,112.24,115.17,0.0,0.0,0.000142,-0.0002,1.212683,1.454279
2011-05-05,120.07,115.566,1.0,0.0,0.007964,0.0,1.212683,1.465861
2011-05-06,118.68,115.82,1.0,1.0,-0.004588,-0.004788,1.206876,1.459136
2011-05-09,122.29,115.84,1.0,1.0,0.006489,0.006489,1.214707,1.468603
2011-05-10,116.55,115.936,1.0,1.0,-0.00135,-0.00135,1.213067,1.466621
